event,cls,nu_eff_json,nu_eff_spec,nu_ref,nu_relerr,E_internal_json,E_internal_int,E_int_relerr,E_total_J,E_ref_J,E_total_relerr_ref,m_sun,msun_c2_ref,m_relerr_ref,tau_hl_s,tau_ref,rho_F=1,rhoS_F=1,rho_F=nu,rhoS_F=nu,rho_F=nu^2,rhoS_F=nu^2,rho_F=log(nu),rhoS_F=log(nu),rho_F=sqrt(nu),rhoS_F=sqrt(nu)
GW150914,BBH,153.91453962440724,153.91453962440724,150.0,0.0,1.6945019951079176e-14,1.6945019951079176e-14,0.0,4.036304322275336e+47,5.3e+47,0.2384331467405027,2.2585174684199987,3.0,0.24716084386000045,-0.002197265625,-0.0069,1.6945019951079176e-14,1.0,2.608084944696747e-12,153.91453962440727,5.728425049458639e-10,33805.95045622129,8.098370815350683e-14,4.7792040603852595,1.9800748027465706e-13,11.685290477456569
GW151226,BBH,174.0022379530567,174.0022379530567,445.0,0.0,8.72942210871037e-15,8.72942210871037e-15,0.0,2.0793486398999224e+47,1.8e+47,0.15519368883329018,1.1635012752214837,1.0,0.16350127522148372,-0.000244140625,-0.0027,8.72942210871037e-15,0.9999999999999998,1.5189389829524956e-12,174.0022379530567,3.767048188056587e-10,43153.465843950435,4.2419469930318015e-14,4.859367481839504,1.0772026382637878e-13,12.339907783688641
GW170104,BBH,184.45786688340894,184.45786688340894,110.0,0.0,1.0940969661909546e-14,1.0940969661909546e-14,0.0,2.606139341455088e+47,3.5e+47,0.2553887595842606,1.4582674540493665,2.0,0.27086627297531674,-0.0,-0.003,1.0940969661909546e-14,1.0,2.0181479254719266e-12,184.45786688340894,4.571890271127099e-10,41786.88372607331,5.549294271843861e-14,5.072031495675798,1.4372053641562718e-13,13.135996246839369
GW170608,BBH,117.38540640066184,117.38540640066184,30.0,0.0,1.858932738365874e-14,1.858932738365874e-14,0.0,4.427978408020373e+47,1.6e+47,1.767486505012733,2.477679031560989,0.9,1.7529767017344324,-0.00341796875,-0.004,1.858932738365874e-14,1.0,2.1821157496457332e-12,117.38540640066184,4.353168751855233e-10,23417.569996007274,8.096267644283646e-14,4.355331140921648,1.8304612187733356e-13,9.846839431008316
GW170729,BBH,181.40141704922542,181.40141704922542,130.0,0.0,9.979016921209946e-15,9.979016921209946e-15,0.0,2.377002166266155e+47,8.5e+47,0.7203526863216289,1.330053555515351,4.8,0.7229055092676352,-0.00146484375,-0.006,9.979016921209946e-15,0.9999999999999999,1.8102078102656827e-12,181.40141704922536,3.992487651838861e-10,40008.827356059606,5.0525994426652633e-14,5.063223644732171,1.3022748588196644e-13,13.050131782538003
GW170809,BBH,199.79122841919803,199.79122841919803,200.0,0.0,1.1355472751908016e-14,1.1355472751908016e-14,0.0,2.7048739914341078e+47,4.8e+47,0.43648458511789423,1.5135145102451306,2.7,0.4394390702795813,-0.002685546875,-0.007,1.1355472751908016e-14,1.0,2.2687238503844337e-12,199.79122841919806,5.418785693272899e-10,47719.5957549403,5.859394460509175e-14,5.159974039411652,1.5567015938908118e-13,13.708822414542322
GW170814,BBH,170.50625124769002,170.50625124769002,170.0,0.0,1.1927002014833387e-14,1.1927002014833387e-14,0.0,2.8410122810857286e+47,4.8e+47,0.40812244144047327,1.5896908043868172,2.7,0.41122562800488255,-0.001953125,-0.006,1.1927002014833387e-14,1.0,2.0336284021728863e-12,170.50625124769,4.429952920262706e-10,37142.21658345708,5.916014964878563e-14,4.960186103365227,1.4949619210037655e-13,12.534264009887059
GW190403_051519,BBH,187.44396817223225,187.44396817223225,180.0,0.0,1.0576462712872046e-14,1.0576462712872046e-14,0.0,2.51931377393454e+47,3.2e+47,0.21271444564545622,1.4096841349303328,1.8,0.2168421472609262,-0.00048828125,-0.006,1.0576462712872046e-14,1.0000000000000002,1.982494140126389e-12,187.44396817223227,4.6011711479440677e-10,43503.875282841305,5.3652625701121805e-14,5.072832681178376,1.3963880883477603e-13,13.20278930921102
GW190412,BBH,160.2911185934715,160.2911185934715,150.0,0.0,1.27546208163654e-14,1.27546208163654e-14,0.0,3.0381511074467593e+47,3e+47,0.012717035815586406,1.7,1.7,0.0,-0.0009765625,-0.006,1.27546208163654e-14,0.9999999999999999,2.0444524378907867e-12,160.29111859347148,4.364782820574269e-10,34221.18841019433,6.235280326579727e-14,4.888644214792543,1.5443168685051478e-13,12.107901055934501
GW190413_052954,BBH,187.28892650885967,187.28892650885967,170.0,0.0,1.00129858234106e-14,1.00129858234106e-14,0.0,2.3850935599128596e+47,2.3e+47,0.036997199962112946,1.3345811016158995,1.3,0.026600847396845727,-0.000732421875,-0.007,1.00129858234106e-14,1.0,1.8753213660150015e-12,187.28892650885967,4.36599446676539e-10,43603.32216348086,5.070181405887615e-14,5.06360589668809,1.319589101174798e-13,13.178777284289836
